CODE,TYPE
SBS_EXP_NOR,COUNTRY
SBS_EXP_NPL,COUNTRY
SBS_EXP_OMN,COUNTRY
SBS_EXP_PAK,COUNTRY
SBS_EXP_PAN,COUNTRY
SBS_EXP_PER,COUNTRY
SBS_EXP_PHL,COUNTRY
SBS_EXP_POL,COUNTRY
SBS_EXP_PRI,COUNTRY
SBS_EXP_PRK,COUNTRY
SBS_EXP_PRT,COUNTRY
SBS_EXP_PRY,COUNTRY
SBS_EXP_ROU,COUNTRY
SBS_EXP_RUS,COUNTRY
SBS_EXP_SAU,COUNTRY
SBS_EXP_SCG,COUNTRY
SBS_EXP_SDN,COUNTRY
SBS_EXP_SEN,COUNTRY
SBS_EXP_SGP,COUNTRY
SBS_EXP_SLE,COUNTRY
SBS_EXP_SUR,COUNTRY
SBS_EXP_SVK,COUNTRY
SBS_EXP_SVN,COUNTRY
SBS_EXP_SWE,COUNTRY
SBS_EXP_SYR,COUNTRY
SBS_EXP_TCA,COUNTRY
SBS_EXP_THA,COUNTRY
SBS_EXP_TUN,COUNTRY
SBS_EXP_TUR,COUNTRY
SBS_EXP_TWN,COUNTRY
SBS_EXP_TZA,COUNTRY
SBS_EXP_UGA,COUNTRY
SBS_EXP_UKR,COUNTRY
SBS_EXP_UMI,COUNTRY
SBS_EXP_URY,COUNTRY
SBS_EXP_USA,COUNTRY
SBS_EXP_UZB,COUNTRY
SBS_EXP_VEN,COUNTRY
SBS_EXP_VGB,COUNTRY
SBS_EXP_VNM,COUNTRY
SBS_EXP_WOR,COUNTRY
SBS_EXP_ZAF,COUNTRY
SBS_EXP_ZMB,COUNTRY
WHM_EXP_AFG,COUNTRY
WHM_EXP_AGO,COUNTRY
WHM_EXP_ARE,COUNTRY
WHM_EXP_ARG,COUNTRY
WHM_EXP_ATG,COUNTRY
WHM_EXP_AUT,COUNTRY
WHM_EXP_BEL,COUNTRY
WHM_EXP_BGD,COUNTRY
WHM_EXP_BGR,COUNTRY
WHM_EXP_BHR,COUNTRY
WHM_EXP_BHS,COUNTRY
WHM_EXP_BIH,COUNTRY
WHM_EXP_BLZ,COUNTRY
WHM_EXP_BMU,COUNTRY
WHM_EXP_BOL,COUNTRY
WHM_EXP_BRA,COUNTRY
WHM_EXP_BRB,COUNTRY
WHM_EXP_BWA,COUNTRY
WHM_EXP_CAN,COUNTRY
WHM_EXP_CHE,COUNTRY
WHM_EXP_CHL,COUNTRY
WHM_EXP_CHN,COUNTRY
WHM_EXP_CMR,COUNTRY
WHM_EXP_COK,COUNTRY
WHM_EXP_COL,COUNTRY
WHM_EXP_COM,COUNTRY
WHM_EXP_CPV,COUNTRY
WHM_EXP_CUB,COUNTRY
WHM_EXP_CUW,COUNTRY
WHM_EXP_CYM,COUNTRY
WHM_EXP_CYP,COUNTRY
WHM_EXP_DEU,COUNTRY
WHM_EXP_DJI,COUNTRY
WHM_EXP_DNK,COUNTRY
WHM_EXP_DZA,COUNTRY
WHM_EXP_EGY,COUNTRY
WHM_EXP_ESP,COUNTRY
WHM_EXP_FIN,COUNTRY
WHM_EXP_FLK,COUNTRY
WHM_EXP_FRA,COUNTRY
WHM_EXP_FRO,COUNTRY
WHM_EXP_GAB,COUNTRY
WHM_EXP_GBR,COUNTRY
WHM_EXP_GIB,COUNTRY
WHM_EXP_GNB,COUNTRY
WHM_EXP_GNQ,COUNTRY
WHM_EXP_GRC,COUNTRY
WHM_EXP_GTM,COUNTRY
WHM_EXP_GUF,COUNTRY
WHM_EXP_GUY,COUNTRY
WHM_EXP_HKG,COUNTRY
WHM_EXP_HRV,COUNTRY
WHM_EXP_HTI,COUNTRY
WHM_EXP_IDN,COUNTRY
WHM_EXP_IMN,COUNTRY
WHM_EXP_IND,COUNTRY
WHM_EXP_IRL,COUNTRY
WHM_EXP_IRN,COUNTRY
WHM_EXP_IRQ,COUNTRY
WHM_EXP_ISL,COUNTRY
WHM_EXP_ITA,COUNTRY
WHM_EXP_JAM,COUNTRY
WHM_EXP_JOR,COUNTRY
WHM_EXP_JPN,COUNTRY
WHM_EXP_KIR,COUNTRY
WHM_EXP_KNA,COUNTRY
WHM_EXP_KOR,COUNTRY
WHM_EXP_KWT,COUNTRY
WHM_EXP_LBN,COUNTRY
WHM_EXP_LBR,COUNTRY
WHM_EXP_LBY,COUNTRY
WHM_EXP_LKA,COUNTRY
WHM_EXP_LTU,COUNTRY
WHM_EXP_LUX,COUNTRY
WHM_EXP_LVA,COUNTRY
WHM_EXP_MAR,COUNTRY
WHM_EXP_MCO,COUNTRY
WHM_EXP_MEX,COUNTRY
WHM_EXP_MHL,COUNTRY
WHM_EXP_MKD,COUNTRY
WHM_EXP_MLT,COUNTRY
WHM_EXP_MMR,COUNTRY
WHM_EXP_MNE,COUNTRY
WHM_EXP_MNG,COUNTRY
WHM_EXP_MOZ,COUNTRY
WHM_EXP_MTQ,COUNTRY
WHM_EXP_MYS,COUNTRY
WHM_EXP_NAM,COUNTRY
WHM_EXP_NIU,COUNTRY
WHM_EXP_NLD,COUNTRY
WHM_EXP_NOR,COUNTRY
WHM_EXP_PAK,COUNTRY
WHM_EXP_PAN,COUNTRY
WHM_EXP_PCN,COUNTRY
WHM_EXP_PER,COUNTRY
WHM_EXP_PHL,COUNTRY
WHM_EXP_PLW,COUNTRY
WHM_EXP_POL,COUNTRY
WHM_EXP_PRT,COUNTRY
WHM_EXP_PRY,COUNTRY
WHM_EXP_QAT,COUNTRY
WHM_EXP_ROU,COUNTRY
WHM_EXP_RUS,COUNTRY
WHM_EXP_SAU,COUNTRY
WHM_EXP_SEN,COUNTRY
WHM_EXP_SGP,COUNTRY
WHM_EXP_SLE,COUNTRY
WHM_EXP_SLV,COUNTRY
WHM_EXP_SUR,COUNTRY
WHM_EXP_SWE,COUNTRY
WHM_EXP_SWZ,COUNTRY
WHM_EXP_TGO,COUNTRY
WHM_EXP_THA,COUNTRY
WHM_EXP_TKL,COUNTRY
WHM_EXP_TON,COUNTRY
WHM_EXP_TUR,COUNTRY
WHM_EXP_TUV,COUNTRY
WHM_EXP_TWN,COUNTRY
WHM_EXP_TZA,COUNTRY
WHM_EXP_URY,COUNTRY
WHM_EXP_USA,COUNTRY
WHM_EXP_VCT,COUNTRY
WHM_EXP_VEN,COUNTRY
WHM_EXP_VIR,COUNTRY
WHM_EXP_VNM,COUNTRY
WHM_EXP_VUT,COUNTRY
WHM_EXP_WOR,COUNTRY
WHM_EXP_ZAF,COUNTRY
WHS_EXP_AGO,COUNTRY
WHS_EXP_ANT,COUNTRY
WHS_EXP_ARE,COUNTRY
WHS_EXP_ARG,COUNTRY
WHS_EXP_AUT,COUNTRY
WHS_EXP_BEL,COUNTRY
WHS_EXP_BGD,COUNTRY
WHS_EXP_BGR,COUNTRY
WHS_EXP_BHS,COUNTRY
WHS_EXP_BIH,COUNTRY
WHS_EXP_BLZ,COUNTRY
WHS_EXP_BOL,COUNTRY
